,number,Y,WbY,ln(gdppercappp),shurban,density,numchange,inv/gdp,raw,manufact,govern,nogovern,sharetransf,sharehigheduc,patents,openexp,openimp
Belgorod region,1,0.090835579,0.055850912,3.157840613,66.1,55.78228782,-0.07271285,0.241546347,21.8,23.1,8.1,11.9,14.87543822,19.1,0.807038434,0.247045,0.325132
Bryansk region,2,0.052702423,0.056567462,2.522546829,68.1,38.27793696,-1.205442982,0.127395169,0.1,21.7,15.5,24.1,40.42055033,29.6,0.359308331,0.250938,0.319998
Vladimir region,3,0.048404742,0.038640872,2.647794171,77.5,51.27147766,-0.771481777,0.199327166,0.3,34.3,12.8,20.9,25.84404586,17.8,1.09919571,0.073003,0.092252
Voronezh region,4,0.061062766,0.052809844,2.57217454,62.7,45.26628352,-0.13946412,0.214488498,0.4,20,14,23.2,27.6213213,25.3,2.196453511,0.10267,0.085468
Ivanovo region,5,0.030710204,0.040576677,2.254200686,80.6,51.8364486,-1.299047958,0.271709404,0.3,20.7,18.3,18,39.99106582,19.2,1.198954296,0.078312,0.154257
Kaluga region,6,0.083024358,0.04882848,2.761141632,75.8,34.41275168,-0.398212898,0.192015863,0.4,27.8,14.6,19.1,26.37467221,22.1,1.667479278,0.075633,0.170832
Kostroma region,7,0.0367538,0.031127832,2.779264522,68,11.72591362,-1.630434783,0.315159768,0.1,21.3,14.3,14.8,29.00998718,15.1,0.864145063,0.104492,0.146182
Kursk region,8,0.050639059,0.05598367,2.835274503,62.6,39.55666667,-1.485970447,0.206232456,18,11.9,11.1,13.7,24.90866165,20.6,1.550518244,0.064672,0.067119
Lipetsk region,9,0.03883935,0.051243406,3.412975522,63.5,49.84166667,-0.474249106,0.208764156,0.6,55.4,7.4,9.8,5.457999098,20,0.760742351,0.653299,0.107194
Moscow region,10,0.042806241,0.048716855,3.064538439,80.4,147.6048035,0.839797136,0.255990407,0.2,25.2,11.3,24.6,10.12756769,26.2,3.036847477,0.160207,0.280368
Orel region,11,0.036478234,0.056246498,2.810745751,64.1,33.5465587,-1.48614909,0.180693794,0.1,23.7,14.2,21.3,28.63557537,23.2,2.160270336,0.09414,0.133421
Ryazan region,12,0.042539748,0.051419926,2.828607871,69.8,30.1540404,-0.896339945,0.280022302,0.4,23.1,13.8,19.5,21.30294354,20.5,1.850766267,0.111462,0.067108
Smolensk region,13,0.056128198,0.054823451,2.77380478,71,20.66064257,-0.65656078,0.219322625,0.5,22.3,13.7,16.7,19.64975717,19.8,0.50539411,0.28064,0.096951
Tambov region,14,0.060713325,0.051942956,2.652387612,57.6,33.17971014,-1.003199862,0.231043709,0,14.9,14.4,19.1,38.17702181,16.6,0.690137154,0.027494,0.045248
Tver region,15,0.050562516,0.040238776,2.732162699,73.5,16.91092637,-1.131787252,0.246088463,0.1,22,13.1,24.2,22.36299177,19.4,1.502914531,0.037405,0.05722
Tula region,16,0.056027302,0.048737586,2.865974717,79.9,63.17120623,-1.03626943,0.17899798,0.3,36.6,10.8,17.9,19.90103737,19.6,1.989528796,0.552241,0.083603
Yaroslavl region,17,0.037553413,0.03710374,3.165893719,81.5,36.5,-1.277644949,0.323551293,0.1,32.1,10.8,23.9,10.07988783,22.2,1.551502308,0.118515,0.076201
Moscow,18,0.015494563,0.042806241,3.999602873,100,9841,1.824834683,0.110280942,0,12.1,4.8,31.7,3.916218116,43.8,6.314029432,0.542652,0.271951
Republic of Karelia,19,0.013279801,0.028741896,3.224605339,75.5,3.782825485,-1.924734272,0.198113684,19.3,17.6,12.9,22,17.02203115,21.5,0.24897481,0.429833,0.097505
Republic of Komi,20,0.043494268,0.041169734,3.472016546,75.6,2.334213052,-1.866048013,0.294260634,34.3,11.7,9.3,22,8.404751595,18.5,0.503648885,0.153205,0.028255
Arkhangelsk region,21,0.04801008,0.024716477,3.259994196,73,2.187658925,-1.292641885,0.286658504,20.6,18.9,11.5,21.6,27.07864718,18.6,0.457187137,0.171631,0.026848
Vologda region,22,0.013384937,0.039748178,3.547343336,68.2,8.584083045,-0.831467861,0.312604513,0,46.6,7.9,17.6,5.243623184,17,0.919058368,0.480885,0.060659
Kaliningrad region,23,0.065644611,0,2.84852461,76.9,62.20529801,-0.603174603,0.36608098,14.7,17.3,13.8,20.8,23.62150134,22.4,0.766528266,0.258824,1.231287
Leningrad region,24,0.050891809,0.03428694,3.25599752,66.3,20.06436234,0.357696435,0.403370807,0.8,29.1,8.7,24.7,9.073662221,20.1,0.831650232,0.821634,0.359107
Murmansk region,25,0.002680758,0.013279801,3.21568913,91.4,5.853692202,-1.942196532,0.150651921,10.8,25.5,12.2,22.4,16.4077247,20.7,0.589483612,0.238817,0.02747
Novgorod region,26,0.04653815,0.039965244,3.110271941,70.4,12.29541284,-1.267128334,0.219202781,0,34.6,10.6,19.5,21.67090336,18,0.56707954,0.310854,0.116505
Pskov region,27,0.045021716,0.051030168,2.618382461,67.2,13.13357401,-1.768597273,0.136679283,0.1,18,15.9,24.3,36.43257753,14.3,0.549752611,0.218638,0.228206
Saint-Petersburg ,28,0.053210098,0.050891809,3.348133739,100,3356.928571,0.543396872,0.235374017,0.1,20.9,12.7,32.3,6.849147097,39.2,4.408792051,0.21866,0.38481
Republic of Adygea,29,0.084317377,0.062238353,2.166933373,52.6,56.67948718,-0.427927928,0.211582651,1.3,12.9,23.6,18.5,60.66145955,23.4,0.067857951,0.012679,0.042417
Republic of Kabardino-Balkaria,32,0.053146202,0.045726732,2.365617168,58.5,69.736,-1.335597057,0.158284244,0.1,11.6,15.8,15.9,65.36040892,30.1,0.412986119,0.015762,0.008426
Republic of Kalmykia,33,0.017276011,0.038596968,2.083845812,44.2,3.926372155,0.204988042,0.316192126,6.5,2,28.4,17.7,54.85385671,21.1,0.136379134,0.214348,0.219419
Republic of Karachaevo-Cherkessia,34,0.044375835,0.053418235,2.213462618,44.1,31.62937063,1.117818019,0.37320437,2,11.4,19.3,14.7,62.99849044,29.5,0.132655317,0.019965,0.017771
Republic of Northen Osetia _ Alania,35,0.047934211,0.049008176,2.45420916,64.7,88.325,-0.056577086,0.191083957,0.1,15.2,18,19.4,63.30719393,35.9,0.976507218,0.046639,0.049725
Krasnodar Territory,36,0.062238353,0.058391616,2.773519175,52.6,67.85562914,0.121167113,0.305464316,1.9,13,11.9,30.4,19.26219655,21.9,1.795787707,0.083041,0.086614
Stavropol Territory,37,0.04487015,0.047495619,2.446240246,56.4,41.45015106,0.142330572,0.216326622,2.1,14.6,14.7,23.9,35.72635543,25.5,0.750728863,0.097849,0.032844
Astrakhan region,38,0.034942527,0.015924053,2.837142904,67,20.5,-0.178873099,0.308605724,2.7,27.7,13.1,23.8,21.99128252,20.3,0.676953708,0.099333,0.043268
Volgograd region,39,0.014572095,0.045470161,2.902137247,75.4,23.45704163,-0.600532973,0.210279826,6.8,26.6,10.2,18.5,19.11767193,20.1,1.35936261,0.257718,0.076695
Rostov region,40,0.0600031,0.040003875,2.628981967,66.8,42.9960396,-0.492655989,0.228642179,1.1,18.6,11.2,21.2,27.45366624,23.5,1.374752452,0.204547,0.212477
Republic of Bashkortostan,41,0.061223882,0.044279162,3.162008506,59.6,28.50804759,-0.342482509,0.221331275,12.7,27.7,9.2,19.5,19.30955598,18.4,1.271540085,0.352879,0.030112
Republic of Marii El ,42,0.063969359,0.039327002,2.522289582,63.1,30.58974359,-0.652324774,0.231532856,0.1,20.2,16.5,17.6,43.12896922,25.1,1.299245599,0.061936,0.03226
Republic of Mordovia,43,0.061767182,0.045170727,2.542020067,59.2,33.26819923,-0.777054051,0.341626359,0,24.4,13.5,13.7,27.08801402,24.6,0.564321087,0.049209,0.033657
