type,chain_no,status,sample,W,seed,file,id
mcmc,1,not estimated,west,border,43,mcmc_border_west_1.Rds,1
mcmc,2,not estimated,west,border,44,mcmc_border_west_2.Rds,2
mcmc,3,not estimated,west,border,45,mcmc_border_west_3.Rds,3
mcmc,4,not estimated,west,border,46,mcmc_border_west_4.Rds,4
mcmc,5,not estimated,west,border,47,mcmc_border_west_5.Rds,5
mcmc,1,not estimated,east,border,43,mcmc_border_east_1.Rds,6
mcmc,2,not estimated,east,border,44,mcmc_border_east_2.Rds,7
mcmc,3,not estimated,east,border,45,mcmc_border_east_3.Rds,8
mcmc,4,not estimated,east,border,46,mcmc_border_east_4.Rds,9
mcmc,5,not estimated,east,border,47,mcmc_border_east_5.Rds,10
mcmc,1,not estimated,all,border,43,mcmc_border_all_1.Rds,11
mcmc,2,not estimated,all,border,44,mcmc_border_all_2.Rds,12
mcmc,3,not estimated,all,border,45,mcmc_border_all_3.Rds,13
mcmc,4,not estimated,all,border,46,mcmc_border_all_4.Rds,14
mcmc,5,not estimated,all,border,47,mcmc_border_all_5.Rds,15
mcmc,1,not estimated,west,road,43,mcmc_road_west_1.Rds,16
mcmc,2,not estimated,west,road,44,mcmc_road_west_2.Rds,17
mcmc,3,not estimated,west,road,45,mcmc_road_west_3.Rds,18
mcmc,4,not estimated,west,road,46,mcmc_road_west_4.Rds,19
mcmc,5,not estimated,west,road,47,mcmc_road_west_5.Rds,20
mcmc,1,not estimated,east,road,43,mcmc_road_east_1.Rds,21
mcmc,2,not estimated,east,road,44,mcmc_road_east_2.Rds,22
mcmc,3,not estimated,east,road,45,mcmc_road_east_3.Rds,23
mcmc,4,not estimated,east,road,46,mcmc_road_east_4.Rds,24
mcmc,5,not estimated,east,road,47,mcmc_road_east_5.Rds,25
mcmc,1,not estimated,all,road,43,mcmc_road_all_1.Rds,26
mcmc,2,not estimated,all,road,44,mcmc_road_all_2.Rds,27
mcmc,3,not estimated,all,road,45,mcmc_road_all_3.Rds,28
mcmc,4,not estimated,all,road,46,mcmc_road_all_4.Rds,29
mcmc,5,not estimated,all,road,47,mcmc_road_all_5.Rds,30
